affiliate_id;created_at;date;updated_at;amount;status;type;fee_id
4;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
4;1999-03-01 00:00:00;2002-03-01 00:00:00;;720;Pagado;cash;1
4;1977-05-01 00:00:00;1999-02-01 00:00:00;;2620;Pagado;cash;1
10;1999-03-01 00:00:00;2004-04-01 00:00:00;2004-08-30;1240;Pagado;cash;1
12;1977-05-01 00:00:00;1999-05-01 00:00:00;;2720;Pagado;cash;1
13;1987-07-01 00:00:00;1995-12-01 00:00:00;;1020;Pagado;cash;1
17;2000-03-01 00:00:00;2001-04-01 00:00:00;2006-04-28;280;Pagado;cash;1
17;2001-05-01 00:00:00;2002-02-01 00:00:00;2006-05-29;200;Pagado;cash;1
17;2002-03-01 00:00:00;2002-12-01 00:00:00;2006-07-14;200;Pagado;cash;1
17;2003-01-01 00:00:00;2003-10-01 00:00:00;2006-09-05;200;Pagado;cash;1
17;2003-11-01 00:00:00;2004-08-01 00:00:00;2006-10-17;200;Pagado;cash;1
17;2004-09-01 00:00:00;2005-06-01 00:00:00;2006-10-23;200;Pagado;cash;1
17;2005-07-01 00:00:00;2006-04-01 00:00:00;2006-11-07;200;Pagado;cash;1
19;2002-01-01 00:00:00;2002-04-01 00:00:00;2003-11-07;80;Pagado;cash;1
24;1997-01-01 00:00:00;2010-08-01 00:00:00;2024-03-21;3280;Pagado;cash;1
24;2010-09-01 00:00:00;2024-03-01 00:00:00;2024-06-25;3290;Pagado;cash;1
27;2000-03-01 00:00:00;2000-12-01 00:00:00;2002-06-20;200;Pagado;cash;1
27;2000-03-01 00:00:00;2001-02-01 00:00:00;2002-09-16;240;Pagado;cash;1
27;2001-03-01 00:00:00;2002-11-01 00:00:00;2002-12-20;420;Pagado;cash;1
27;2002-12-01 00:00:00;2002-12-01 00:00:00;2002-12-24;20;Pagado;cash;1
27;2003-01-01 00:00:00;2003-05-01 00:00:00;2003-04-29;100;Pagado;cash;1
27;2004-04-01 00:00:00;2004-10-01 00:00:00;2004-12-20;140;Pagado;cash;1
27;2004-11-01 00:00:00;2004-12-01 00:00:00;2004-12-22;40;Pagado;cash;1
27;2005-01-01 00:00:00;2006-02-01 00:00:00;2006-03-09;280;Pagado;cash;1
28;2001-03-01 00:00:00;2003-09-01 00:00:00;2003-08-26;620;Pagado;cash;1
28;2003-10-01 00:00:00;2005-10-01 00:00:00;2005-10-26;500;Pagado;cash;1
28;2005-11-01 00:00:00;2005-12-01 00:00:00;2005-12-08;40;Pagado;cash;1
28;2006-01-01 00:00:00;2006-12-01 00:00:00;2006-12-18;240;Pagado;cash;1
28;2007-01-01 00:00:00;2007-05-01 00:00:00;2007-05-22;100;Pagado;cash;1
28;2007-06-01 00:00:00;2007-06-01 00:00:00;2007-06-19;20;Pagado;cash;1
28;2007-07-01 00:00:00;2007-08-01 00:00:00;2007-08-10;40;Pagado;cash;1
28;2007-09-01 00:00:00;2007-12-01 00:00:00;2007-12-13;80;Pagado;cash;1
28;2008-01-01 00:00:00;2008-03-01 00:00:00;2008-04-03;60;Pagado;cash;1
28;2008-04-01 00:00:00;2008-04-01 00:00:00;2008-04-03;20;Pagado;cash;1
28;2008-05-01 00:00:00;2008-05-01 00:00:00;2008-05-13;20;Pagado;cash;1
28;2008-06-01 00:00:00;2008-07-01 00:00:00;2008-08-12;40;Pagado;cash;1
29;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
32;2002-01-01 00:00:00;2002-03-01 00:00:00;2002-05-28;60;Pagado;cash;1
32;2002-04-01 00:00:00;2002-05-01 00:00:00;2002-05-29;40;Pagado;cash;1
32;2002-06-01 00:00:00;2002-08-01 00:00:00;2002-09-13;60;Pagado;cash;1
32;2002-09-01 00:00:00;2002-12-01 00:00:00;2002-12-04;80;Pagado;cash;1
32;2003-01-01 00:00:00;2003-04-01 00:00:00;2003-04-28;80;Pagado;cash;1
32;2003-05-01 00:00:00;2003-09-01 00:00:00;2003-09-30;100;Pagado;cash;1
35;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
36;1977-05-01 00:00:00;1999-02-01 00:00:00;;2620;Pagado;cash;1
36;1999-03-01 00:00:00;2004-04-01 00:00:00;;1240;Pagado;cash;1
40;1977-05-01 00:00:00;2004-09-01 00:00:00;2015-08-05;6580;Pagado;cash;1
41;2001-10-01 00:00:00;2002-11-01 00:00:00;2002-12-19;280;Pagado;cash;1
41;2002-12-01 00:00:00;2003-07-01 00:00:00;2003-08-12;160;Pagado;cash;1
41;2003-08-01 00:00:00;2003-09-01 00:00:00;2003-08-12;40;Pagado;cash;1
41;1977-06-01 00:00:00;1999-02-01 00:00:00;;2610;Pagado;cash;1
41;1999-03-01 00:00:00;2001-09-01 00:00:00;;620;Pagado;cash;1
47;1977-06-01 00:00:00;1999-02-01 00:00:00;;2610;Pagado;cash;1
47;1999-03-01 00:00:00;2004-05-01 00:00:00;;1260;Pagado;cash;1
48;1977-06-01 00:00:00;1995-12-01 00:00:00;;380;Pagado;cash;1
49;1977-06-01 00:00:00;1999-02-01 00:00:00;;2600;Pagado;cash;1
49;1999-03-01 00:00:00;2001-01-01 00:00:00;;460;Pagado;cash;1
50;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
61;2001-12-01 00:00:00;2001-12-01 00:00:00;2002-01-28;20;Pagado;cash;1
62;2002-01-01 00:00:00;2002-03-01 00:00:00;2002-05-10;60;Pagado;cash;1
62;2002-04-01 00:00:00;2002-07-01 00:00:00;2002-08-12;80;Pagado;cash;1
62;2002-08-01 00:00:00;2002-10-01 00:00:00;2002-10-18;60;Pagado;cash;1
62;2002-11-01 00:00:00;2003-02-01 00:00:00;2003-03-13;80;Pagado;cash;1
62;2003-03-01 00:00:00;2005-11-01 00:00:00;2005-12-16;660;Pagado;cash;1
67;1978-06-01 00:00:00;1999-02-01 00:00:00;;2110;Pagado;cash;1
68;2000-10-01 00:00:00;2004-11-01 00:00:00;2014-09-29;1000;Pagado;cash;1
68;2004-12-01 00:00:00;2009-01-01 00:00:00;2014-10-13;1000;Pagado;cash;1
68;2009-02-01 00:00:00;2009-11-01 00:00:00;2022-07-13;200;Pagado;cash;1
68;2009-12-01 00:00:00;2010-09-01 00:00:00;2022-09-29;200;Pagado;cash;1
